Motor Tipi:10
Roket Hızı:20
Roket Uzunluğu1500cm
Roket Çapı:366cm
İtme Gücü:1262kN
Kütle Akış Hızı:1000
x:0.1027222 y:1.179787 z:-0.1831741
x:0.1027222 y:1.179787 z:-0.1831741
x:0.2054443 y:2.355652 z:-0.3663483
x:0.3081665 y:3.527588 z:-0.5495262
x:0.5136108 y:5.859695 z:-0.9158745
x:0.7190552 y:8.176102 z:-1.282227
x:0.9244995 y:10.47681 z:-1.648575
x:1.129944 y:12.76184 z:-2.014927
x:1.335388 y:15.03116 z:-2.381275
x:1.540833 y:17.28478 z:-2.747627
x:1.746277 y:19.52271 z:-3.113976
x:1.951721 y:21.74494 z:-3.480328
x:2.259888 y:25.04887 z:-4.02985
x:2.465332 y:27.23186 z:-4.396202
x:2.670776 y:29.39915 z:-4.76255
x:2.978943 y:32.62067 z:-5.312073
x:3.081665 y:33.68665 z:-5.495251
x:3.287048 y:35.80687 z:-5.861599
x:3.492493 y:37.91138 z:-6.227947
x:3.595215 y:38.95775 z:-6.411121
x:3.800659 y:41.03872 z:-6.777473
x:3.903381 y:42.07332 z:-6.960648
x:4.006104 y:43.10399 z:-7.143822
x:4.108826 y:44.13074 z:-7.326996
x:4.211548 y:45.15356 z:-7.51017
x:4.31427 y:46.17247 z:-7.693344
x:4.519714 y:48.19851 z:-8.059696
x:4.622437 y:49.20564 z:-8.24287
x:4.725159 y:50.20885 z:-8.426044
x:4.827881 y:51.20813 z:-8.609219
x:5.033325 y:53.19492 z:-8.975569
x:5.136047 y:54.18243 z:-9.158743
x:5.341492 y:56.14568 z:-9.525091
x:5.444214 y:57.12143 z:-9.708267
x:5.546936 y:58.09324 z:-9.891441
x:5.75238 y:60.02509 z:-10.25779
x:5.855103 y:60.98513 z:-10.44097
x:5.957825 y:61.94125 z:-10.62414
x:6.265991 y:64.78606 z:-11.17366
x:6.265991 y:64.78606 z:-11.17366
x:6.471436 y:66.66298 z:-11.54001
x:6.471436 y:66.66298 z:-11.54001
